parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status,perturbation_induced_absolute_difference,empirical_numerical_floor,difference_to_floor_ratio,resolution_status
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodide_max_M,1.5985079698973644e-12,8.371544142620045e-06,8.371544142620575e-06,OK,5.30242624981192e-19,1.4818695722547057e-13,3.5782003687032533e-06,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,mean_period_s,-7.176250409758215e-07,526.8695596343612,526.8695558533817,OK,3.7809794548593345e-06,0.00029656925937615597,0.012749060583058271,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodine_peak_M,-4.8181501393357985e-09,0.0002601600505612291,0.0002601600505486939,OK,1.2535166047517032e-14,5.347989304009537e-12,0.002343902602445197,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodide_min_M,7.611877866234214e-07,9.322249722528832e-11,9.322249793489231e-11,OK,7.096039970620039e-19,5.97183587233158e-17,0.011882510039328218,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.005,iodide_max_M,-9.170365762542788e-09,8.371544138517068e-06,8.37154413774936e-06,OK,7.677083117439351e-16,1.4818695722547057e-13,0.005180673968329383,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,mean_period_s,2.039713682363313e-08,526.8695572244105,526.8695574393502,OK,2.149396323147812e-07,0.00029656925937615597,0.0007247535795412997,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodine_peak_M,5.504391083221153e-08,0.0002601600505776038,0.00026016005086401743,OK,2.864136336953871e-13,5.347989304009537e-12,0.05355538641048791,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodide_min_M,-2.444698883288808e-07,9.322249761740339e-11,9.32224971615862e-11,OK,4.558171915384011e-19,5.97183587233158e-17,0.007632781631696731,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.01,iodide_max_M,1.5154305565829658e-08,8.371544138713495e-06,8.371544141250884e-06,OK,2.537388837453927e-15,1.4818695722547057e-13,0.017122889119001342,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,mean_period_s,1.874180437965981e-07,526.8695452102868,526.8695491606079,OK,3.950321115553379e-06,0.00029656925937615597,0.013320062652019364,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodine_peak_M,-2.3841080326031734e-08,0.0002601600509046854,0.0002601600506565523,OK,2.481331112802465e-13,5.347989304009537e-12,0.046397458404453834,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodide_min_M,-3.4956172285715564e-07,9.322249758064172e-11,9.322249627698719e-11,OK,1.303654533164318e-18,5.97183587233158e-17,0.02183004625435784,BELOW_NUMERICAL_RESOLUTION
k8_DKE,R8,MEASURED_DERIVED,forward,0.02,iodide_max_M,-5.020380697457656e-09,8.371544141526972e-06,8.371544139845617e-06,OK,1.6813553181021026e-15,1.4818695722547057e-13,0.011346176138456463,BELOW_NUMERICAL_RESOLUTION
